towerid;Latitudine;Longitudine;active;eNb;seNb;status;type;Nomesito;contributo;Bande
TRMMYJJKUQ;44.3281853;9.32190433;Attivo;102210;Non presente;Non verificato;0;Chiavari;SYSTEM;~B20~
DPYCSMCDYA;44.4024385;8.6701325;Attivo;102212;Non presente;Non verificato;0;Arenzano;SYSTEM;~B20~
MJQQTYAXSC;44.419776;9.149934;Attivo;102229;Non presente;Non verificato;0;Moconesi;SYSTEM;~B20~
UNHVODAXGY;44.390306;9.1570415;Attivo;102230;Non presente;Non verificato;0;Testana;SYSTEM;~B20~
BNLAEUJBLA;44.4002285;8.622364;Attivo;102233;Non presente;Non verificato;0;   SchivÃ ;SYSTEM;~B20~
LXPPTBQILV;44.510536;8.883312;Attivo;102236;Non presente;Non verificato;0;Ferriera-pontasso;SYSTEM;~B20~
TBELWAAPMS;44.448945;8.90613733;Attivo;102241;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
YCQTTBTDRE;44.4321156;8.761842;Attivo;102243;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
HGKTDQYMQM;44.4107146;8.931462;Attivo;102245;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
CJLMCOJUKI;44.406738;8.97559733;Attivo;102248;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
USRDQLFVLI;44.4055803;8.987213;Attivo;102250;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
DWCNJLLEED;44.52837;8.863663;Attivo;102253;Non presente;Verificato;0;"	GE253 - ISOVERDE LOC. GALLANETO PRESSO TRALICCI";itreb;~B20~
DWVHVNYUJC;44.443251;8.9059115;Attivo;102256;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
CDRXQBMBKP;44.3941706;8.959262;Attivo;102257;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
BUBFWXUOWT;44.4581893;8.97492866;Attivo;102258;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
LCBHYHNRVW;44.3634933;9.14318933;Attivo;102262;Non presente;Non verificato;0;Recco;SYSTEM;~B20~
YOVNXLFFWV;44.3755595;9.152869;Attivo;102263;Non presente;Non verificato;0;Recco;SYSTEM;~B20~
YDKVEEUQGI;44.477255;8.89740366;Attivo;102265;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
MTENXYLWMY;44.3504443;9.17876133;Attivo;102282;Non presente;Non verificato;0;Camogli;SYSTEM;~B20~
JUJQTNCRMR;44.4204025;8.9568815;Attivo;102283;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
PYLSEEITWF;44.434588;8.819822;Attivo;102285;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
XPKFDOCAHB;44.4379283;8.88474666;Attivo;102289;Non presente;Non verificato;0;   Genova;SYSTEM;~B20~
MWKMGKLALP;44.4211585;8.931444;Attivo;102303;Non presente;Non verificato;0;Genova;SYSTEM;~B20~
RWDHUUMDEK;44.644281;8.95522333;Attivo;102309;Non presente;Non verificato;0;Isola del Cantone;SYSTEM;~B20~
MLLWJVBPMM;43.872046;7.99850366;Attivo;104001;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
WIVBIRLPHL;43.8789513;8.01035533;Attivo;104002;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
TVPQCLNIAF;43.886134;8.02545166;Attivo;104004;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
KKHBRAGXEW;43.8910995;8.0376915;Attivo;104005;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
DCPCONHRSO;43.8914616;8.036643;Attivo;104006;Non presente;Non verificato;0;Imperia;SYSTEM;~B7~~B20~
EPDCAKBGFO;43.900226;8.0315653;Attivo;104007;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
RNFPGDSYEH;43.8950475;8.035876;Attivo;104009;Non presente;Non verificato;0;Imperia;SYSTEM;~B20~
LBMEDFOCRG;43.8159086;7.7724573;Attivo;104012;Non presente;Non verificato;0;Sanremo;SYSTEM;~B20~
